###################### UltraGCN ######################
1. Loading Configuration...
load path = ./ml-1m_ii_constraint_mat object
load path = ./ml-1m_ii_neighbor_mat object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 128, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_ml-1m.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.001, 'dataset': 'ml-1m', 'gpu': '2', 'device': device(type='cuda', index=2), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 50, 'w1': 1e-07, 'w2': 1.0, 'w3': 1e-07, 'w4': 1.0, 'negative_num': 200, 'negative_weight': 200.0, 'gamma': 0.0001, 'lambda': 0.001, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 6022, 'item_num': 3043}
Total training batches = 778
The time for epoch 0 is: train time = 00: 00: 51, test time = 00: 00: 03
Loss = 20.85748, F1-score: 0.092476 	 Precision: 0.07704	 Recall: 0.11564	NDCG: 0.11646
The time for epoch 5 is: train time = 00: 00: 41, test time = 00: 00: 03
Loss = 17.42431, F1-score: 0.091260 	 Precision: 0.07614	 Recall: 0.11388	NDCG: 0.11565
The time for epoch 10 is: train time = 00: 00: 35, test time = 00: 00: 03
Loss = 17.75606, F1-score: 0.090910 	 Precision: 0.07566	 Recall: 0.11385	NDCG: 0.11437
The time for epoch 15 is: train time = 00: 00: 32, test time = 00: 00: 02
Loss = 17.32856, F1-score: 0.130713 	 Precision: 0.10886	 Recall: 0.16355	NDCG: 0.17062
The time for epoch 20 is: train time = 00: 00: 32, test time = 00: 00: 03
Loss = 16.80242, F1-score: 0.160063 	 Precision: 0.12951	 Recall: 0.20949	NDCG: 0.20897
The time for epoch 25 is: train time = 00: 00: 34, test time = 00: 00: 02
Loss = 17.19784, F1-score: 0.172226 	 Precision: 0.13794	 Recall: 0.22920	NDCG: 0.22648
The time for epoch 30 is: train time = 00: 00: 32, test time = 00: 00: 02
Loss = 17.53183, F1-score: 0.180870 	 Precision: 0.14337	 Recall: 0.24492	NDCG: 0.23700
The time for epoch 35 is: train time = 00: 00: 29, test time = 00: 00: 02
Loss = 16.31652, F1-score: 0.187046 	 Precision: 0.14788	 Recall: 0.25443	NDCG: 0.24562
The time for epoch 40 is: train time = 00: 00: 32, test time = 00: 00: 02
Loss = 16.35237, F1-score: 0.190537 	 Precision: 0.15022	 Recall: 0.26045	NDCG: 0.25038
The time for epoch 45 is: train time = 00: 00: 33, test time = 00: 00: 02
Loss = 16.79988, F1-score: 0.195032 	 Precision: 0.15325	 Recall: 0.26812	NDCG: 0.25601
The time for epoch 50 is: train time = 00: 00: 29, test time = 00: 00: 03
Loss = 16.75206, F1-score: 0.196124 	 Precision: 0.15416	 Recall: 0.26948	NDCG: 0.25764
The time for epoch 51 is: train time = 00: 00: 30, test time = 00: 00: 02
Loss = 16.31272, F1-score: 0.196607 	 Precision: 0.15421	 Recall: 0.27116	NDCG: 0.25859
The time for epoch 52 is: train time = 00: 00: 31, test time = 00: 00: 02
