###################### UltraGCN ######################
1. Loading Configuration...
load path = ./electronics_ii_constraint_mat object
load path = ./electronics_ii_neighbor_mat object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_electronics.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.001, 'dataset': 'electronics', 'gpu': '3', 'device': device(type='cuda', index=3), 'lr': 0.001, 'batch_size': 2048, 'early_stop_epoch': 500, 'w1': 1e-07, 'w2': 1.0, 'w3': 1e-07, 'w4': 1.0, 'negative_num': 75, 'negative_weight': 75.0, 'gamma': 5e-05, 'lambda': 1e-07, 'sampling_sift_pos': True, 'test_batch_size': 2048, 'topk': 20, 'user_num': 1435, 'item_num': 1522}
Total training batches = 16
The time for epoch 0 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 2952.26050, F1-score: 0.002596 	 Precision: 0.00146	 Recall: 0.01147	NDCG: 0.00488
The time for epoch 1 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 2580.14062, F1-score: 0.005450 	 Precision: 0.00307	 Recall: 0.02448	NDCG: 0.00985
The time for epoch 2 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 1843.62463, F1-score: 0.006221 	 Precision: 0.00352	 Recall: 0.02679	NDCG: 0.01885
The time for epoch 3 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 1188.65894, F1-score: 0.015845 	 Precision: 0.00902	 Recall: 0.06488	NDCG: 0.04004
The time for epoch 4 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 700.25769, F1-score: 0.021191 	 Precision: 0.01202	 Recall: 0.08936	NDCG: 0.04893
The time for epoch 5 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 460.13196, F1-score: 0.021529 	 Precision: 0.01223	 Recall: 0.08984	NDCG: 0.04908
The time for epoch 6 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 361.56296, F1-score: 0.021538 	 Precision: 0.01223	 Recall: 0.09015	NDCG: 0.04925
The time for epoch 7 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 313.89563, F1-score: 0.021661 	 Precision: 0.01230	 Recall: 0.09066	NDCG: 0.04944
The time for epoch 8 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 292.32629, F1-score: 0.021786 	 Precision: 0.01237	 Recall: 0.09127	NDCG: 0.04963
The time for epoch 9 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 282.00000, F1-score: 0.021788 	 Precision: 0.01237	 Recall: 0.09133	NDCG: 0.04991
The time for epoch 10 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 279.84195, F1-score: 0.021607 	 Precision: 0.01226	 Recall: 0.09067	NDCG: 0.04942
The time for epoch 11 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 273.57269, F1-score: 0.021787 	 Precision: 0.01237	 Recall: 0.09129	NDCG: 0.04989
The time for epoch 12 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 272.97046, F1-score: 0.021846 	 Precision: 0.01240	 Recall: 0.09146	NDCG: 0.04960
The time for epoch 13 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.79895, F1-score: 0.021790 	 Precision: 0.01237	 Recall: 0.09139	NDCG: 0.04983
The time for epoch 14 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.98242, F1-score: 0.021540 	 Precision: 0.01223	 Recall: 0.09021	NDCG: 0.04949
The time for epoch 15 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.19434, F1-score: 0.021666 	 Precision: 0.01230	 Recall: 0.09084	NDCG: 0.04950
The time for epoch 16 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.87061, F1-score: 0.021607 	 Precision: 0.01226	 Recall: 0.09067	NDCG: 0.04964
The time for epoch 17 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.48566, F1-score: 0.021735 	 Precision: 0.01233	 Recall: 0.09137	NDCG: 0.04983
